CLASE DE ACCIDENTE,GRAVEDAD,VIAS,CORREGIMIENTO,DÍA SEMANA,FECHA DE OCURRECIA,HORA OCURRENCIA
ATROPELLO,MUERTOS,VILLARICA-PALMIRA,EL CABUYAL,SABADO,2021-06-12,9:57:00 AM
CHOQUE,HERIDOS,CALI-FLORIDA,LA REGINA,MARTES,2021-06-15,7:10:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-06-15,5:32:00 AM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL CABUYAL,JUEVES,2021-06-17,9:23:00 AM
CHOQUE,DAÑOS,CANDELARIA,EL CABUYAL,VIERNES,2021-06-18,2:15:00 PM
ATROPELLO,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,LUNES,2021-06-21,7:00:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-06-25,12:00:00 AM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,JUEVES,2021-06-24,7:30:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,JUEVES,2021-06-24,9:50:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-06-25,3:10:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,SABADO,2021-06-26,6:00:00 PM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,SABADO,2021-06-26,4:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-06-28,6:09:00 AM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MIERCOLES,2021-06-30,6:20:00 AM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MIERCOLES,2021-06-30,12:30:00 PM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,JUEVES,2021-07-01,9:37:00 AM
ATROPELLO,HERIDOS,CANDELARIA,CANDELARIA,VIERNES,2021-07-02,9:25:00 AM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,VIERNES,2021-07-02,8:40:00 AM
CHOQUE,HERIDOS,CANDELARIA,SAN JOAQUIN,SABADO,2021-07-03,6:30:00 AM
CHOQUE,HERIDOS,CALI-FLORIDA,CANDELARIA,SABADO,2021-07-03,6:46:00 AM
CHOQUE,MUERTOS,VILLARICA-PALMIRA,EL CABUYAL,SABADO,2021-07-03,7:30:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-07-03,10:50:00 PM
ATROPELLO,HERIDOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-07-06,12:50:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,MIERCOLES,2021-07-07,4:00:00 PM
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-07-08,6:20:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-07-09,12:30:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,SAN JOAQUIN,DOMINGO,2021-07-11,2:50:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,DOMINGO,2021-07-11,10:30:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,LUNES,2021-07-12,12:10:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-07-14,7:50:00 AM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,JUEVES,2021-07-15,3:50:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,DOMINGO,2021-07-18,7:40:00 PM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,,2021-07-18,
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL CABUYAL,LUNES,2021-07-19,5:45:00 PM
VOLCAMIENTO,HERIDOS,CALI-FLORIDA,CANDELARIA,LUNES,2021-07-19,7:20:00 PM
CHOQUE,HERIDOS,Via interna,POBLADO CAMPESTRE,MARTES,2021-07-20,11:30:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-07-21,3:10:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-07-22,5:10:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-07-23,7:40:00 PM
ATROPELLO,HERIDOS,CALI-FLORIDA,CANDELARIA,VIERNES,2021-07-23,2:50:00 PM
CHOQUE,DAÑOS,PALMIRA-VILLA RICA,CANDELARIA,,2021-07-25,
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,LUNES,2021-07-26,4:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-07-26,3:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-07-26,5:15:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-07-28,1:55:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-07-29,7:55:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-07-30,7:07:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-07-31,9:10:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-08-01,12:10:00 PM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,MIERCOLES,2021-08-04,8:20:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-08-04,11:00:00 AM
CHOQUE,DAÑOS,CANDELARIA-FLORIDA,CANDELARIA,VIERNES,2021-08-06,10:00:00 AM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL LAURO,VIERNES,2021-08-06,1:40:00 PM
VOLCAMIENTO,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,VIERNES,2021-08-06,2:40:00 PM
CHOQUE,MUERTOS,VILLARICA-PALMIRA,EL ARENAL,DOMINGO,2021-08-08,12:30:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,DOMINGO,2021-08-08,9:20:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-08-08,5:20:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-08-09,5:50:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-08-09,7:30:00 AM
CHOQUE,HERIDOS,CALI-FLORIDA,CANDELARIA,MARTES,2021-08-10,5:50:00 AM
CHOQUE,HERIDOS,CALI-FLORIDA,CANDELARIA,MARTES,2021-08-10,4:00:00 PM
ATROPELLO,HERIDOS,CANDELARIA,EL CABUYAL,MIERCOLES,2021-08-11,10:40:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,JUEVES,2021-08-12,9:10:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-08-13,6:05:00 AM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MARTES,2021-08-17,6:20:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,JUEVES,2021-08-19,5:30:00 PM
CHOQUE,HERIDOS,CANDELARIA-CALI,VILLAGORGONA,,2021-08-20,
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-08-21,3:50:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-08-22,9:10:00 AM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,CANDELARIA,LUNES,2021-08-23,8:15:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,,2021-08-25,
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MIERCOLES,2021-08-25,5:30:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-08-25,6:20:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,,2021-08-26,
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-08-26,7:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,JUEVES,2021-08-26,10:45:00 AM
CHOQUE,MUERTOS,CALI-CANDELARIA,EL CARMELO,VIERNES,2021-08-27,7:20:00 PM
